Date,Time (UTC),Exchange,Symbol,Strategy,Signal,Side,Quantity,Price,Total USD,Fee (est.),Net Amount,Order ID,Mode,Notes
,,,,,,,,,,,,,,,"NOTE: open this file in Google Sheets or Excel to compare strategies side by side"
2026-04-12,11:05:25,BitGet,BTCUSDT,vwap_scalp,short,,,71440.37,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (bounce in downtrend)"
2026-04-12,11:05:25,BitGet,BTCUSDT,ema_cross,long,,,71440.37,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-12,11:05:25,BitGet,BTCUSDT,bb_rsi,none,,,71440.37,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-12,11:05:25,BitGet,BTCUSDT,macd,short,,,71440.37,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-12,11:05:33,BitGet,BTCUSDT,vwap_scalp,short,,,71447.20,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (bounce in downtrend)"
2026-04-12,11:05:33,BitGet,BTCUSDT,ema_cross,long,,,71447.20,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-12,11:05:33,BitGet,BTCUSDT,bb_rsi,none,,,71447.20,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-12,11:05:33,BitGet,BTCUSDT,macd,short,,,71447.20,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-13,12:25:57,BitGet,BTCUSDT,vwap_scalp,short,,,70890.82,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (bounce in downtrend)"
2026-04-13,12:25:57,BitGet,BTCUSDT,ema_cross,short,,,70890.82,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-13,12:25:57,BitGet,BTCUSDT,bb_rsi,none,,,70890.82,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-13,12:25:57,BitGet,BTCUSDT,macd,short,,,70890.82,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-13,12:28:39,Coinbase Advanced,BTCUSDT,vwap_scalp,short,,,70886.42,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (bounce in downtrend)"
2026-04-13,12:28:39,Coinbase Advanced,BTCUSDT,ema_cross,short,,,70886.42,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-13,12:28:39,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,70886.42,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-13,12:28:39,Coinbase Advanced,BTCUSDT,macd,short,,,70886.42,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-13,12:32:26,Coinbase Advanced,BTCUSDT,vwap_scalp,short,,,70808.33,,,,BLOCKED,BLOCKED,"Failed: RSI(3) above 70 (bounce in downtrend)"
2026-04-13,12:32:26,Coinbase Advanced,BTCUSDT,ema_cross,short,,,70808.33,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-13,12:32:26,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,70808.33,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-13,12:32:26,Coinbase Advanced,BTCUSDT,macd,short,,,70808.33,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-13,13:01:48,Coinbase Advanced,BTCUSDT,vwap_scalp,none,,,71110.82,,,,BLOCKED,BLOCKED,"Failed: Market bias"
2026-04-13,13:01:48,Coinbase Advanced,BTCUSDT,ema_cross,short,,,71110.82,,,,BLOCKED,BLOCKED,"Failed: Fresh crossover this candle"
2026-04-13,13:01:48,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,71110.82,,,,BLOCKED,BLOCKED,"Failed: Price at band extreme"
2026-04-13,13:01:48,Coinbase Advanced,BTCUSDT,macd,short,,,71110.82,,,,BLOCKED,BLOCKED,"Failed: Fresh bearish crossover"
2026-04-13,13:17:11,Coinbase Advanced,BTCUSDT,vwap_scalp,none,,,71147.78,,,,BLOCKED,BLOCKED,Failed: Market bias
2026-04-13,13:17:11,Coinbase Advanced,BTCUSDT,ema_cross,short,,,71147.78,,,,BLOCKED,BLOCKED,Failed: Fresh crossover this candle
2026-04-13,13:17:11,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,71147.78,,,,BLOCKED,BLOCKED,Failed: Price at band extreme
2026-04-13,13:17:12,Coinbase Advanced,BTCUSDT,macd,short,,,71147.78,,,,BLOCKED,BLOCKED,Failed: Fresh bearish crossover
2026-04-13,13:21:12,Coinbase Advanced,BTCUSDT,vwap_scalp,none,,,71153.73,,,,BLOCKED,BLOCKED,Failed: Market bias
2026-04-13,13:21:12,Coinbase Advanced,BTCUSDT,ema_cross,short,,,71153.73,,,,BLOCKED,BLOCKED,Failed: Fresh crossover this candle
2026-04-13,13:21:12,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,71153.73,,,,BLOCKED,BLOCKED,Failed: Price at band extreme
2026-04-13,13:21:12,Coinbase Advanced,BTCUSDT,macd,short,,,71153.73,,,,BLOCKED,BLOCKED,Failed: Fresh bearish crossover
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,vwap_scalp,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Market bias
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,ema_cross,short,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Fresh crossover this candle
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Price at band extreme
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,macd,short,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Fresh bearish crossover
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,stoch_rsi,long,BUY,0.000141,71052.99,10.00,0.0100,9.99,,PAPER,All conditions met
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,supertrend,short,SELL,0.000141,71052.99,10.00,0.0100,9.99,,PAPER,All conditions met
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,ichimoku,long,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Tenkan above Kijun (bullish cross)
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,rsi_divergence,short,,,71052.99,,,,BLOCKED,BLOCKED,Failed: RSI not deeply oversold (valid bearish)
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,adx,short,,,71052.99,,,,BLOCKED,BLOCKED,Failed: -DI clearly dominant (> 5 spread)
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,ema_3,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: EMA stack aligned
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,heikin_ashi,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: 3 consecutive HA candles
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,orb,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: ORB breakout
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,support_resistance,long,BUY,0.000141,71052.99,10.00,0.0100,9.99,,PAPER,All conditions met
2026-04-13,13:36:23,Coinbase Advanced,BTCUSDT,volume_profile,none,,,71052.99,,,,BLOCKED,BLOCKED,Failed: Price at Value Area edge
2026-04-13,13:37:20,Coinbase Advanced,BTCUSDT,vwap_scalp,none,,,71007.44,,,,BLOCKED,BLOCKED,Failed: Market bias
2026-04-13,13:37:20,Coinbase Advanced,BTCUSDT,ema_cross,short,,,71007.44,,,,BLOCKED,BLOCKED,Failed: Fresh crossover this candle
2026-04-13,13:37:20,Coinbase Advanced,BTCUSDT,bb_rsi,none,,,71007.44,,,,BLOCKED,BLOCKED,Failed: Price at band extreme
2026-04-13,13:37:20,Coinbase Advanced,BTCUSDT,macd,short,,,71007.44,,,,BLOCKED,BLOCKED,Failed: Fresh bearish crossover
